,id,Category,Name,Difficulty,Link,Solution
0,0,Arrays & Hashing,Contains Duplicate,Easy,https://neetcode.io/problems/duplicate-integer,https://www.youtube.com/watch?v=3OamzN90kPg
1,1,Arrays & Hashing,Valid Anagram,Easy,https://neetcode.io/problems/is-anagram,https://www.youtube.com/watch?v=9UtInBqnCgA
2,2,Arrays & Hashing,Two Sum,Easy,https://neetcode.io/problems/two-integer-sum,https://www.youtube.com/watch?v=KLlXCFG5TnA
3,3,Arrays & Hashing,Group Anagrams,Medium,https://neetcode.io/problems/anagram-groups,https://www.youtube.com/watch?v=vzdNOK2oB2E
4,4,Arrays & Hashing,Top K Frequent Elements,Medium,https://neetcode.io/problems/top-k-elements-in-list,https://www.youtube.com/watch?v=YPTqKIgVk-k
5,5,Arrays & Hashing,Encode and Decode Strings,Medium,https://neetcode.io/problems/string-encode-and-decode,https://www.youtube.com/watch?v=B1k_sxOSgv8
6,6,Arrays & Hashing,Product of Array Except Self,Medium,https://neetcode.io/problems/products-of-array-discluding-self,https://www.youtube.com/watch?v=bNvIQI2wAjk
7,7,Arrays & Hashing,Valid Sudoku,Medium,https://neetcode.io/problems/valid-sudoku,https://www.youtube.com/watch?v=TjFXEUCMqI8
8,8,Arrays & Hashing,Longest Consecutive Sequence,Medium,https://neetcode.io/problems/longest-consecutive-sequence,https://www.youtube.com/watch?v=P6RZZMu_maU
9,9,Two pointers,Valid Palindrome,Easy,https://neetcode.io/problems/is-palindrome,https://www.youtube.com/watch?v=jJXJ16kPFWg
10,10,Two pointers,Two Sum II Input Array Is Sorted,Medium,https://neetcode.io/problems/two-integer-sum-ii,https://www.youtube.com/watch?v=cQ1Oz4ckceM
11,11,Two pointers,3Sum,Medium,https://neetcode.io/problems/three-integer-sum,https://www.youtube.com/watch?v=jzZsG8n2R9A
12,12,Two pointers,Container With Most Water,Medium,https://neetcode.io/problems/max-water-container,https://www.youtube.com/watch?v=UuiTKBwPgAo
13,13,Two pointers,Trapping Rain Water,Hard,https://neetcode.io/problems/trapping-rain-water,https://www.youtube.com/watch?v=ZI2z5pq0TqA
14,14,Sliding window,Best Time to Buy And Sell Stock,Easy,https://neetcode.io/problems/buy-and-sell-crypto,https://www.youtube.com/watch?v=1pkOgXD63yU
15,15,Sliding window,Longest Substring Without Repeating Characters,Medium,https://neetcode.io/problems/longest-substring-without-duplicates,https://www.youtube.com/watch?v=wiGpQwVHdE0
16,16,Sliding window,Longest Repeating Character Replacement,Medium,https://neetcode.io/problems/longest-repeating-substring-with-replacement,https://www.youtube.com/watch?v=gqXU1UyA8pk
17,17,Sliding window,Permutation In String,Medium,https://neetcode.io/problems/permutation-string,https://www.youtube.com/watch?v=UbyhOgBN834
18,18,Sliding window,Minimum Window Substring,Hard,https://neetcode.io/problems/minimum-window-with-characters,https://www.youtube.com/watch?v=jSto0O4AJbM
19,19,Sliding window,Sliding Window Maximum,Hard,https://neetcode.io/problems/sliding-window-maximum,https://www.youtube.com/watch?v=DfljaUwZsOk
20,20,Stack,Valid Parentheses,Easy,https://neetcode.io/problems/validate-parentheses,https://www.youtube.com/watch?v=WTzjTskDFMg
21,21,Stack,Min Stack,Medium,https://neetcode.io/problems/minimum-stack,https://www.youtube.com/watch?v=qkLl7nAwDPo
22,22,Stack,Evaluate Reverse Polish Notation,Medium,https://neetcode.io/problems/evaluate-reverse-polish-notation,https://www.youtube.com/watch?v=iu0082c4HDE
23,23,Stack,Generate Parentheses,Medium,https://neetcode.io/problems/generate-parentheses,https://www.youtube.com/watch?v=s9fokUqJ76A
24,24,Stack,Daily Temperatures,Medium,https://neetcode.io/problems/daily-temperatures,https://www.youtube.com/watch?v=cTBiBSnjO3c
25,25,Stack,Car Fleet,Medium,https://neetcode.io/problems/car-fleet,https://www.youtube.com/watch?v=Pr6T-3yB9RM
26,26,Stack,Largest Rectangle In Histogram,Hard,https://neetcode.io/problems/largest-rectangle-in-histogram,https://www.youtube.com/watch?v=zx5Sw9130L0
27,27,Binary Search,Binary Search,Easy,https://neetcode.io/problems/binary-search,https://www.youtube.com/watch?v=s4DPM8ct1pI
28,28,Binary Search,Search a 2D Matrix,Medium,https://neetcode.io/problems/search-2d-matrix,https://www.youtube.com/watch?v=Ber2pi2C0j0
29,29,Binary Search,Koko Eating Bananas,Medium,https://neetcode.io/problems/eating-bananas,https://www.youtube.com/watch?v=U2SozAs9RzA
30,30,Binary Search,Find Minimum In Rotated Sorted Array,Medium,https://neetcode.io/problems/find-minimum-in-rotated-sorted-array,https://www.youtube.com/watch?v=nIVW4P8b1VA
31,31,Binary Search,Search In Rotated Sorted Array,Medium,https://neetcode.io/problems/find-target-in-rotated-sorted-array,https://www.youtube.com/watch?v=U8XENwh8Oy8
32,32,Binary Search,Time Based Key Value Store ,Medium,https://neetcode.io/problems/time-based-key-value-store,https://www.youtube.com/watch?v=fu2cD_6E8Hw
