,id,category,question,answer,difficulty
0,0,python и анализ данных,Что такое функция в Python?,"Функция — это блок кода, который выполняется только при вызове.",1
1,1,python и анализ данных,Как создать список в Python?,"Список создается с использованием квадратных скобок, например: my_list = [1, 2, 3].",1
2,2,python и анализ данных,Как проверить тип переменной в Python?,"Используя функцию type(), например: type(variable).",1
3,3,python и анализ данных,Что делает оператор pass в Python?,"pass — это пустая операция, которая ничего не делает.",1
4,4,python и анализ данных,Какой синтаксис используется для объявления словаря?,"Словарь объявляется с использованием фигурных скобок, например: my_dict = {'ключ': 'значение'}.",1
5,5,python и анализ данных,Как в Python сложить два числа?,"Сложение выполняется с помощью оператора +, например: a + b.",1
6,6,python и анализ данных,Что такое строка в Python?,"Строка — это последовательность символов, заключенная в кавычки.",1
7,7,python и анализ данных,Как задать комментарий в Python?,Комментарий начинается с символа #.,1
8,8,python и анализ данных,Каков результат операции 5 // 2 в Python?,Результатом будет целое число 2.,1
9,9,python и анализ данных,Как найти длину списка?,"Используя функцию len(), например: len(my_list).",1
10,10,python и анализ данных,Что такое кортеж в Python?,"Кортеж — это неизменяемый список, который создается с использованием круглых скобок, например: (1, 2, 3).",1
11,11,python и анализ данных,Как объединить строки в Python?,"С помощью оператора +, например: ""Hello"" + ""World"".",1
12,12,python и анализ данных,"Как проверить, есть ли элемент в списке?","Используя оператор in, например: if 3 in my_list:.",1
13,13,python и анализ данных,Как присвоить значение переменной?,"Используя оператор =, например: x = 10.",1
14,14,python и анализ данных,Как обратиться к элементу списка по индексу?,"Используя квадратные скобки, например: my_list[0].",1
15,15,python и анализ данных,Как объявить функцию в Python?,"Используя ключевое слово def, например: def my_function():.",1
16,16,python и анализ данных,Что делает функция print()?,Она выводит данные на экран.,1
17,17,python и анализ данных,Как проверить равенство двух значений?,"Используя оператор ==, например: if a == b:.",1
18,18,python и анализ данных,Как создать пустой список?,"С использованием квадратных скобок, например: my_list = [].",1
19,19,python и анализ данных,Что делает функция input()?,Она считывает строку ввода от пользователя.,1
20,20,python и анализ данных,Как преобразовать строку в целое число?,"Используя функцию int(), например: int('123').",1
21,21,python и анализ данных,Как выйти из цикла for досрочно?,Используя оператор break.,1
22,22,python и анализ данных,Как узнать количество элементов в словаре?,"С помощью функции len(), например: len(my_dict).",1
23,23,python и анализ данных,Что делает оператор return в функции?,Он завершает выполнение функции и возвращает значение.,1
24,24,python и анализ данных,Как сделать список пустым?,"Используя метод clear(), например: my_list.clear().",1
25,25,python и анализ данных,Какой оператор используется для деления?,"Оператор /, например: a / b.",1
26,26,python и анализ данных,Как объявить переменную?,"Просто присвоив ей значение, например: x = 5.",1
27,27,python и анализ данных,Что возвращает функция range()?,"Она возвращает объект, представляющий последовательность чисел.",1
28,28,python и анализ данных,Как создать строку из чисел?,"Используя функцию str(), например: str(123).",1
29,29,python и анализ данных,Какой результат даст выражение 2 ** 3?,"Результат будет равен 8, так как это возведение в степень.",1
30,30,python и анализ данных,Что такое None в Python?,"None — это специальное значение, означающее отсутствие значения.",1
31,31,python и анализ данных,Что такое список в Python?,Список — это упорядоченная изменяемая коллекция объектов.,1
